index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
261,275,183,256,5084.7412,74.9131,0.0000,255.0000,59.3857,13609,1.0000
262,275,183,256,4415.4355,110.4534,0.0000,255.0000,55.4985,13793,1.0000
263,100,100,256,133.9151,221.2260,0.0000,255.0000,43.2739,2245,1.0000
264,270,187,256,12590.2461,127.4260,0.0000,255.0000,54.5357,17636,1.0000
265,100,100,256,1725.7867,147.9448,0.0000,255.0000,66.0527,3613,1.0000
266,100,100,256,2412.5654,75.0465,0.0000,255.0000,58.8999,4204,1.0000
267,100,100,256,712.6709,157.9353,0.0000,255.0000,78.4957,3492,1.0000
268,100,100,256,2172.3430,99.8175,0.0000,255.0000,59.6524,4097,1.0000
269,100,100,256,1688.1812,110.9161,0.0000,255.0000,49.3413,3644,1.0000
270,100,100,256,2343.8555,116.5854,0.0000,255.0000,50.6508,4020,1.0000
271,100,100,256,656.4269,150.1183,0.0000,255.0000,64.6019,2871,1.0000
272,100,100,256,844.4854,152.8905,0.0000,255.0000,52.1999,3181,1.0000
273,100,100,256,580.9989,114.2903,0.0000,255.0000,52.5116,2482,1.0000
274,100,100,251,119.7765,205.7444,2.0000,255.0000,50.9329,1613,0.9844
275,100,100,256,1635.4573,116.6827,0.0000,255.0000,47.1206,3795,1.0000
276,275,183,256,3908.3794,90.8244,0.0000,255.0000,64.3503,11512,1.0000
277,275,183,256,1403.1165,143.6890,0.0000,255.0000,62.3673,8451,1.0000
278,275,183,256,2994.0681,88.5265,0.0000,255.0000,57.8536,11515,1.0000
279,271,186,256,3907.1633,99.4670,0.0000,255.0000,62.5356,13831,1.0000
280,275,183,256,1446.9083,116.0685,0.0000,255.0000,51.3981,8701,1.0000
281,275,183,256,805.1886,158.9403,0.0000,255.0000,51.6573,7172,1.0000
282,270,187,256,3288.8638,106.3069,0.0000,255.0000,49.7375,10415,1.0000
283,275,183,256,5963.2007,116.8397,0.0000,255.0000,61.0785,13568,1.0000
284,226,223,256,2730.9011,116.3418,0.0000,255.0000,77.6929,10446,1.0000
285,100,100,256,1423.3895,151.0946,0.0000,255.0000,38.0325,2550,1.0000
286,262,192,256,3624.6174,94.0750,0.0000,255.0000,54.0135,11518,1.0000
287,259,194,256,6997.3813,111.8691,0.0000,255.0000,56.6099,15083,1.0000
288,275,183,256,8632.0361,114.1701,0.0000,255.0000,52.7658,14963,1.0000
289,261,193,256,4614.9077,107.5513,0.0000,255.0000,56.4562,11652,1.0000
290,275,183,256,1792.4828,145.2791,0.0000,255.0000,52.7663,9466,1.0000
291,275,183,256,2210.3728,122.9022,0.0000,255.0000,61.9865,9886,1.0000
292,264,191,256,4079.7571,120.1051,0.0000,255.0000,56.1689,11895,1.0000
293,287,175,256,4863.8525,111.3672,0.0000,255.0000,53.0114,13801,1.0000
294,262,192,256,3894.0439,110.6081,0.0000,255.0000,50.7293,12020,1.0000
295,275,183,256,4566.6494,82.6006,0.0000,255.0000,48.4002,12386,1.0000
296,100,100,256,4424.1304,141.2427,0.0000,255.0000,70.0263,4722,1.0000
