from,to,distance
1399,1271,0.964608
1502,1271,0.964608
1271,1502,0.964608
1271,1399,0.964608
599,1430,0.964390
1430,599,0.964390
72,50,0.964375
2084,1604,0.964360
1604,2084,0.964360
1513,1498,0.963911
1498,1513,0.963911
1831,1617,0.963673
1617,1070,0.963673
1617,1831,0.963673
1070,1617,0.963673
1267,1236,0.963386
1236,1267,0.963386
987,13,0.963236
13,987,0.963236
1836,182,0.963156
437,207,0.963035
2084,125,0.962739
437,1672,0.962662
1873,1848,0.962326
1848,1873,0.962326
1884,1848,0.962077
1659,1772,0.961947
1784,1772,0.961947
311,1676,0.961902
1676,311,0.961902
1592,1165,0.961872
1165,1592,0.961872
1856,178,0.961752
178,1856,0.961752
2054,1658,0.961752
1658,2054,0.961752
1275,1300,0.961417
1981,1449,0.961256
1981,1339,0.961256
2178,1270,0.961093
1270,2178,0.961093
1260,394,0.960815
394,1260,0.960815
1275,371,0.960798
732,774,0.960688
774,732,0.960688
1165,99,0.960615
99,1165,0.960615
672,245,0.960576
245,672,0.960576
1626,1557,0.960483
394,2178,0.960418
1765,1982,0.960406
1982,1765,0.960406
1982,1854,0.960406
1854,1982,0.960406
2107,1221,0.960232
1221,2107,0.960232
1856,1897,0.959573
1897,1856,0.959573
2056,1661,0.959532
1661,2056,0.959532
1365,1346,0.959024
1414,1346,0.959024
202,2039,0.958899
95,105,0.958599
105,95,0.958599
1556,111,0.958565
2020,111,0.958565
111,1556,0.958565
111,2020,0.958565
196,2028,0.958335
196,1866,0.958335
898,835,0.958099
835,898,0.958099
1270,1260,0.957987
1809,1655,0.957916
1655,1809,0.957916
1615,92,0.957737
1963,1867,0.957576
1898,1867,0.957576
1867,1963,0.957576
1867,1898,0.957576
1910,1899,0.957314
1899,1910,0.957314
1229,563,0.956929
563,1229,0.956929
110,898,0.956406
898,110,0.956406
2022,2041,0.956330
2041,2022,0.956330
2107,1684,0.956318
1684,2107,0.956318
1686,664,0.955901
1686,1901,0.955703
1034,1900,0.955327
1900,1034,0.955327
1574,1034,0.955163
1034,1574,0.955163
112,1710,0.955102
1710,112,0.955102
563,1158,0.955085
1158,563,0.955085
1539,1498,0.954418
1498,1539,0.954418
2027,1605,0.954004
1605,2027,0.954004
1258,166,0.953839
423,304,0.953670
304,423,0.953670
277,234,0.953670
234,277,0.953670
2051,2026,0.953580
2026,2051,0.953580
803,758,0.953550
758,803,0.953550
1809,136,0.953534
136,1809,0.953534
2014,1573,0.953467
1573,2014,0.953467
1626,236,0.953299
1682,2027,0.952730
2027,1682,0.952730
1615,1601,0.952723
2050,1885,0.952451
955,672,0.952385
672,955,0.952385
2056,2038,0.952079
2038,2056,0.952079
120,1062,0.951610
1062,120,0.951610
1863,247,0.951184
247,1863,0.951184
1547,203,0.950976
203,1547,0.950976
1258,1954,0.950917
1910,1855,0.950408
1855,1910,0.950408
1907,1688,0.949966
1973,1688,0.949966
1487,1273,0.949924
1273,1487,0.949924
1846,1736,0.949511
140,2009,0.949498
2009,140,0.949498
2009,127,0.949498
127,2009,0.949498
2015,1668,0.949483
13,693,0.949448
693,13,0.949448
1242,2178,0.949262
2085,157,0.949257
